FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2023-03-13,Republic Airline,Republic Airline: YX,YX,20452,5841,BOS,"Boston, MA",SAV,"Savannah, GA",2015,2015.0,0.0,15.0,2030.0,2252.0,5.0,2313,2257.0,-16.0,0.0,,0.0,178.0,162.0,142.0,901.0,,,,,
2023-02-09,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2162,MCO,"Orlando, FL",EWR,"Newark, NJ",1655,1646.0,-9.0,26.0,1712.0,1921.0,5.0,1936,1926.0,-10.0,0.0,,0.0,161.0,160.0,129.0,937.0,,,,,
2020-03-23,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2712,DFW,"Dallas/Fort Worth, TX",ABQ,"Albuquerque, NM",1308,1301.0,-7.0,13.0,1314.0,1351.0,4.0,1401,1355.0,-6.0,0.0,,0.0,113.0,114.0,97.0,569.0,,,,,
2021-09-07,Republic Airline,Republic Airline: YX,YX,20452,4640,PHL,"Philadelphia, PA",IND,"Indianapolis, IN",1030,1028.0,-2.0,12.0,1040.0,1210.0,7.0,1228,1217.0,-11.0,0.0,,0.0,118.0,109.0,90.0,588.0,,,,,
2019-03-22,Allegiant Air,Allegiant Air: G4,G4,20368,1376,JAX,"Jacksonville, FL",CLE,"Cleveland, OH",1031,1049.0,18.0,12.0,1101.0,1249.0,7.0,1241,1256.0,15.0,0.0,,0.0,130.0,127.0,108.0,753.0,15.0,0.0,0.0,0.0,0.0
2022-03-05,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5324,EGE,"Eagle, CO",DEN,"Denver, CO",741,805.0,24.0,45.0,850.0,926.0,9.0,905,935.0,30.0,0.0,,0.0,84.0,90.0,36.0,120.0,0.0,30.0,0.0,0.0,0.0
2022-08-20,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5262,DEN,"Denver, CO",COS,"Colorado Springs, CO",1540,1539.0,-1.0,17.0,1556.0,1616.0,8.0,1630,1624.0,-6.0,0.0,,0.0,50.0,45.0,20.0,73.0,,,,,
2019-04-28,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5471,ACV,"Arcata/Eureka, CA",LAX,"Los Angeles, CA",652,648.0,-4.0,6.0,654.0,824.0,20.0,846,844.0,-2.0,0.0,,0.0,114.0,116.0,90.0,577.0,,,,,
2021-12-25,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,275,OGG,"Kahului, HI",HNL,"Honolulu, HI",1430,1442.0,12.0,14.0,1456.0,1519.0,6.0,1510,1525.0,15.0,0.0,,0.0,40.0,43.0,23.0,100.0,15.0,0.0,0.0,0.0,0.0
2019-09-28,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,1755,SFO,"San Francisco, CA",SEA,"Seattle, WA",1700,1649.0,-11.0,36.0,1725.0,1903.0,9.0,1910,1912.0,2.0,0.0,,0.0,130.0,143.0,98.0,679.0,,,,,
